"","ceRNA","log_rank_p","cancer","sur_sig"
"137","AC040970.1-MIR125B1-PRDX2",0.364486341948067,"BRCA","no_sig"
"138","AC040970.1-MIR125B1-TOR2A",0.163224919468881,"BRCA","no_sig"
"139","AC040970.1-MIR27B-ADAR",0.851764827641034,"BRCA","no_sig"
"140","AC040970.1-MIR27B-OLR1",0.153375145872979,"BRCA","no_sig"
"141","AC040970.1-MIR27B-PAK2",0.206628629089201,"BRCA","no_sig"
"142","AC040970.1-MIR27B-TOR2A",0.209457076360854,"BRCA","no_sig"
"143","AC068338.3-MIR193B-HSPA1L",0.139990028122795,"BRCA","no_sig"
"144","AC068338.3-MIR193B-MAP2K2",0.23211080929893,"BRCA","no_sig"
"145","AC068338.3-MIR193B-NR2F6",0.320858677106907,"BRCA","no_sig"
"146","AC068338.3-MIR193B-PSMC5",0.327495012042012,"BRCA","no_sig"
"147","AC068338.3-MIR193B-TOR2A",0.260154223671329,"BRCA","no_sig"
"148","AC083799.1-MIR218-2-ELAVL1",0.454834588745036,"BRCA","no_sig"
"149","AC083799.1-MIR218-2-HDGF",0.53579196896213,"BRCA","no_sig"
"150","AC083799.1-MIR218-2-PPIA",0.143565596622441,"BRCA","no_sig"
"151","AC083799.1-MIR218-2-RFX5",0.0279469139849081,"BRCA","sig"
"152","AC083799.1-MIR218-2-S100A11",0.287856333035877,"BRCA","no_sig"
"153","AC091153.3-MIR218-2-BIRC5",0.0204670791689325,"BRCA","sig"
"154","AC091153.3-MIR218-2-HDGF",0.563518764413615,"BRCA","no_sig"
"155","AC091153.3-MIR218-2-HLA-A",0.111891020590943,"BRCA","no_sig"
"156","AC091153.3-MIR218-2-PPIA",0.22345758872396,"BRCA","no_sig"
"157","AC091153.3-MIR218-2-S100A11",0.315496575254658,"BRCA","no_sig"
"158","AC092368.3-MIR494-AKT1",0.0411955071340048,"BRCA","sig"
"159","AC092368.3-MIR494-PDIA3",0.624508839128807,"BRCA","no_sig"
"160","AC092368.3-MIR625-AKT1",0.0389453282544328,"BRCA","sig"
"161","AC092368.3-MIR625-CALR",0.975818108106512,"BRCA","no_sig"
"162","AC092368.3-MIR625-HSPA8",0.128085353339419,"BRCA","no_sig"
"163","AC092718.4-MIR185-HSP90AA1",0.00844335036382682,"BRCA","sig"
"164","AC092718.4-MIR185-HSP90AB1",0.00663815432716652,"BRCA","sig"
"165","AC092718.4-MIR320B2-PPIA",0.16543332843842,"BRCA","no_sig"
"166","AC092718.4-MIR320C1-MDK",0.181139539939456,"BRCA","no_sig"
"167","AC092718.4-MIR320C2-MDK",0.180914329125587,"BRCA","no_sig"
"168","AC092718.4-MIR629-PPP3R1",0.00590639044330665,"BRCA","sig"
"169","AC093297.2-MIR140-STC2",0.00191901670545069,"BRCA","sig"
"170","AC093297.2-MIR145-ESR1",0.278451360305619,"BRCA","no_sig"
"171","AC093297.2-MIR145-ROBO2",0.2632976186124,"BRCA","no_sig"
"172","AC095055.1-MIR193A-GDF11",0.263175392800546,"BRCA","no_sig"
"173","AC095055.1-MIR193A-HMGB1",0.778331243348417,"BRCA","no_sig"
"174","AC095055.1-MIR193A-KRAS",0.122580630021254,"BRCA","no_sig"
"175","AC095055.1-MIR193A-MAPK8",0.982890679283133,"BRCA","no_sig"
"176","AC095055.1-MIR193A-MAVS",0.0154960283570653,"BRCA","sig"
"177","AC095055.1-MIR193A-PIK3R3",0.728009545089586,"BRCA","no_sig"
"178","AC095055.1-MIR193A-SEMA3D",0.347791738759791,"BRCA","no_sig"
"179","AC095055.1-MIR193A-TCF7L2",0.0700244411227071,"BRCA","no_sig"
"180","AC095055.1-MIR193A-TGFB2",0.451798434364188,"BRCA","no_sig"
"181","AC100861.1-MIR320B2-PPIA",0.166347124986879,"BRCA","no_sig"
"182","AC100861.1-MIR320C1-MDK",0.176721450670069,"BRCA","no_sig"
"183","AC100861.1-MIR320C1-RARG",0.492299298605023,"BRCA","no_sig"
"184","AC100861.1-MIR320C1-RHOA",0.966023535715978,"BRCA","no_sig"
"185","AC100861.1-MIR320C2-MDK",0.17558947741333,"BRCA","no_sig"
