gene	p.value	fdr	ratio	test_type
ADPRS	3.15000062958383e-07	3.80017011729923e-06	1.63493916380735	t_test
ADRA1D	2.18055233086634e-14	7.95486371157484e-12	0.158845612502979	t_test
ADRA2A	3.4129580737347e-10	1.92591782005888e-08	0.296208363691109	t_test
ADRA2B	6.80582095831575e-05	0.000290931146113545	0.386276928353684	t_test
ADRB2	4.03164102214323e-08	7.63366974898409e-07	0.472402686697369	t_test
ADRB3	5.64474080519637e-10	2.89298316976407e-08	0.0773985880882486	t_test
ADRM1	2.93288881222983e-09	1.01517227008197e-07	1.66621035781212	t_test
ADSL	1.2460755088805e-08	3.15515110884214e-07	1.63154920909259	t_test
AFAP1	0.0265038605339735	0.0473629425643912	0.449068041925896	t_test
AFF3	1.07681309680974e-10	7.60220559007618e-09	0.0810327756825365	t_test
AFF4	0.000813864945024151	0.00241358245909642	0.63689251972595	t_test
AFMID	0.0015428905690655	0.00416198691463453	1.64954182183777	t_test
AGAP2	0.00453242760820531	0.0104981478319263	2.02465177765877	t_test
AGAP6	0.00399316339897927	0.0094151002842492	2.39412983958209	t_test
AGMAT	0.00107686497284807	0.00306315904417166	2.75973312128746	t_test
AGPAT2	0.000497834288598711	0.00158268048186529	1.84049625024365	t_test
AGRN	1.18497583159275e-05	6.80172731988016e-05	2.99344690464351	t_test
AGTR1	5.65021672367499e-10	2.89298316976407e-08	0.1012818290357	t_test
AGTRAP	4.43135164534865e-06	3.04924179769675e-05	2.12531918619444	t_test
AHCY	4.35630183301391e-15	2.25206752180261e-12	1.94585434270261	t_test
AHDC1	0.00113233191444982	0.00319597591774794	0.66179483038353	t_test
AHNAK	1.41572301029329e-05	7.87244169429574e-05	0.383068495636562	t_test
AHNAK2	0.00157622249942291	0.00423479325662223	0.436207474490787	t_test
AIDA	0.0217834033351501	0.0400574666493534	0.621264449458749	t_test
AIF1L	1.46996513445533e-05	8.11773302714719e-05	0.613884966458141	t_test
AIFM3	0.0011404338246985	0.003216011345173	4.2875723112091	t_test
AIM2	0.0277963775650097	0.0492988874343565	4.30744612954737	t_test
AIMP2	4.43994619737304e-07	4.97236741852553e-06	1.68131055504265	t_test
AJAP1	0.00130420031296678	0.00360364038200097	0.493014763009077	t_test
AJUBA	0.00133994499575337	0.00368267092993233	2.31966159085793	t_test
AK4	9.71688893700494e-05	0.000394235093935294	0.468739714584549	t_test
AKAP11	0.00356629467314572	0.00856744692427421	0.584310090133693	t_test
AKAP12	3.32017070308052e-08	6.60982058230664e-07	0.177871075562942	t_test
AKAP13	1.04541897733754e-05	6.13780698022562e-05	0.478500216921063	t_test
AKAP6	2.79312950764982e-05	0.000137098601805807	0.0784855763638162	t_test
AKAP7	1.58768330882495e-06	1.34128691129302e-05	0.561544212157975	t_test
AKNA	9.5986896633156e-05	0.000390031948641724	0.627159403014239	t_test
AKNAD1	9.05354266279233e-07	8.61837555341853e-06	4.70612836268211	t_test
AKR1A1	0.000358733737332718	0.0011967249946907	1.53073826840538	t_test
AKR1B1	6.15625061536317e-05	0.000267879642578904	2.78280465998836	t_test
AKR7A3	0.00117462707964652	0.00329792809712949	2.47778536615294	t_test
AKT1S1	9.63435583596848e-08	1.50211643256297e-06	1.57028474726272	t_test
AKT3	2.52771999154016e-05	0.000126045329867495	0.295762988770181	t_test
AL031708.1	0.00702384881491383	0.0153399020315902	2.47580747175978	t_test
AL117339.4	0.0136393363773177	0.0267813680561784	3.48617049323139	t_test
AL121753.1	0.00717275554780577	0.0155992102604336	0.470106728992299	t_test
AL136295.5	3.85367647138002e-05	0.000181164620505533	2.6401194516339	t_test
AL357556.3	4.85317854878946e-06	3.28866974304016e-05	2.22967730338655	t_test
AL358113.1	0.0205781026302291	0.0381209886431686	1.65785760003701	t_test
AL360181.3	0.00185032776193491	0.00487479084543299	2.38023644996873	t_test
AL590560.2	0.01282298515002	0.0253893204860662	4.20061043768485	t_test
AL591806.2	0.0100278525243197	0.0206909185727756	2.47347117363049	t_test
ALAD	0.00268488828873568	0.0066928013245105	0.648440729365156	t_test
ALAS2	0.0253553972202877	0.0455851016213071	0.527903615028164	t_test
ALB	0.000128392577127002	0.000499058802094914	128.912023245404	t_test
ALDH16A1	5.42740256751829e-05	0.000241382724960733	1.78600633433866	t_test
ALDH18A1	1.3411898241516e-08	3.33756337295862e-07	1.70406795203527	t_test
ALDH1A3	0.00902498971888542	0.0189308631693401	0.54163404939105	t_test
ALDH1B1	0.00108588413780665	0.00308443445453552	0.173971101844963	t_test
ALDH1L1	0.000593087478341293	0.00184487964439005	0.478735328500822	t_test
