lnc	p.value	fdr	ratio	test_type
AL138724.1	0.000474724106417804	0.00269722139355721	2.05924659587178	t_test
AL138762.1	0.0133630495233739	0.0369811134562585	1.74021059623145	t_test
AL138966.2	0.00347287998269907	0.0127762560080475	2.5587688685787	t_test
AL138995.1	1.96330927642083e-09	1.79097435104611e-07	0.319396311195602	t_test
AL139041.1	0.00594111144653984	0.0196944246202256	2.23224378064258	t_test
AL139123.1	0.00492408629327733	0.0168228782562623	2.57868783547958	t_test
AL139234.1	0.00470825049943147	0.0162414859665262	2.30060561056909	t_test
AL139246.5	0.00474530611255805	0.0163367139203079	1.91535547315757	t_test
AL139288.1	0.000274320407691484	0.00173912783563481	3.48789776958833	t_test
AL139289.1	1.78790517346343e-07	6.12714573767497e-06	3.22438828545098	t_test
AL139339.1	7.98796811709263e-06	0.000111654741983027	0.538356567833427	t_test
AL139353.2	0.000476049085207997	0.00270163340292004	2.11728810621401	t_test
AL139383.1	3.36216144937905e-10	5.06186463126167e-08	0.471294713222789	t_test
AL139384.2	1.36804100601881e-06	2.96974974889874e-05	0.646266570121799	t_test
AL139398.1	0.00132193211019683	0.00600169361735446	0.6153716775894	t_test
AL157827.2	0.013005232018786	0.0362141600081135	2.91225997632384	t_test
AL157838.1	0.000231680801216448	0.00153189211649963	3.65864366915427	t_test
AL157895.1	2.28104231424465e-10	3.87462566895488e-08	0.645623554682433	t_test
AL158055.1	1.64713962933739e-09	1.56034804117615e-07	0.298591992175754	t_test
AL158063.1	0.00750786903002665	0.0235415422290969	2.55495585276179	t_test
AL158166.1	0.000150492240109984	0.00111129360214861	7.03104608403983	t_test
AL158196.1	0.0140683809363693	0.0386077128092228	2.35820903373472	t_test
AL158211.1	3.35134071146199e-08	1.60278682957881e-06	0.410751096887503	t_test
AL158212.3	0.0166477069476583	0.0441000375458902	0.486126176062581	t_test
AL158212.5	0.00346709129594947	0.0127724173296351	0.448973543480666	t_test
AL158214.2	0.000521741170797385	0.00290078669000894	2.81870122893799	t_test
AL160171.1	0.00404946343757629	0.0144339051327792	2.67441792480175	t_test
AL160314.2	0.011081040261764	0.0319960166057735	1.8885219577681	t_test
AL161457.2	0.00253275893690866	0.00991762362735458	0.499316385874474	t_test
AL161668.3	0.00182608376823475	0.00764254727852138	4.59668558462131	t_test
AL161729.4	0.00218195917701543	0.00878849624364515	3.14636120048474	t_test
AL161756.1	3.97592449535788e-07	1.10030359910859e-05	4.06719011404733	t_test
AL161772.1	0.000129157230954834	0.000988271532969821	5.13001606302977	t_test
AL161785.1	5.41110622398264e-08	2.42319175084895e-06	0.646292701245187	t_test
AL161891.1	0.000214231786747466	0.00143774629634608	2.33966975780833	t_test
AL162231.2	3.9327639161414e-06	6.50093793654783e-05	0.58019952591497	t_test
AL162274.2	0.00810034506655531	0.0249857857218857	1.67142171582958	t_test
AL162424.1	1.89169939788308e-08	9.88360288614495e-07	0.0718310667507227	t_test
AL162431.1	0.000132765669579881	0.00101082486607495	2.33910499488092	t_test
AL162458.1	0.000193224113439182	0.0013349536925686	2.11115768866728	t_test
AL162595.1	1.19925516327407e-05	0.000151864548439282	2.27277081858936	t_test
AL163051.1	8.64375341366335e-07	2.04707352479354e-05	2.75694936805863	t_test
AL163952.1	0.0032898297451448	0.0121755832641497	4.34916712593174	t_test
AL352979.4	0.00193653182080777	0.00798777783524794	0.436821836408651	t_test
AL353135.2	0.00443438492153795	0.0155582479512079	0.250726966932985	t_test
AL353622.1	0.000485849319495813	0.0027446029218307	2.90366974100635	t_test
AL353708.3	1.26416565542273e-05	0.000158871851253793	4.88588514971996	t_test
AL353743.2	0.00395985315572785	0.0141657491976147	0.654067833790937	t_test
AL353759.1	0.00107075421166463	0.00510603605678605	2.9949345049066	t_test
AL353796.1	0.00312755623098351	0.0116891820893967	1.57132103212616	t_test
AL353804.1	9.50487425519212e-06	0.000126886207536792	0.351906371987182	t_test
AL353807.5	1.39049842516021e-05	0.000169965142489806	4.15837809000926	t_test
AL354707.1	0.00120035724425351	0.00559409629630349	4.77796726820765	t_test
AL354836.1	0.014305638787029	0.0390629582399694	1.87676478158205	t_test
AL354892.2	0.011272438565693	0.0324345983496516	1.60023545853732	t_test
