lncRNA,miRNA,gene,immune_cell,algo,algo_num,cancer
LINC00460,MIR149,CD3D,immune.score,XCELL,1,BLCA
LINC00460,MIR149,CD3D,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,CD3D,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,FASLG,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,FASLG,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,FASLG,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,FASLG,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00460,MIR149,FASLG,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
LINC00460,MIR149,FASLG,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,FASLG,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,FASLG,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,FASLG,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,FASLG,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,FASLG,immune.score,XCELL,1,BLCA
LINC00460,MIR149,FASLG,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,FASLG,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,HLA-A,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER; EPIC,4,BLCA
LINC00460,MIR149,HLA-A,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,HLA-A,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00460,MIR149,HLA-A,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
LINC00460,MIR149,HLA-A,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,HLA-A,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,HLA-A,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,HLA-A,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,HLA-A,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,HLA-A,Macrophage,XCELL; EPIC,2,BLCA
LINC00460,MIR149,HLA-A,immune.score,XCELL,1,BLCA
LINC00460,MIR149,HLA-A,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,HLA-A,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,HLA-A,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,HLA-C,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,HLA-C,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,HLA-C,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,HLA-C,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00460,MIR149,HLA-C,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
LINC00460,MIR149,HLA-C,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,HLA-C,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,HLA-C,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,HLA-C,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,HLA-C,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,HLA-C,immune.score,XCELL,1,BLCA
LINC00460,MIR149,HLA-C,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,HLA-C,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,HLA-C,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,HSPA8,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,HSPA8,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,HSPA8,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,HSPA8,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00460,MIR149,HSPA8,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
LINC00460,MIR149,HSPA8,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,HSPA8,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,HSPA8,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,HSPA8,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,HSPA8,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,HSPA8,immune.score,XCELL,1,BLCA
LINC00460,MIR149,HSPA8,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,HSPA8,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,HSPA8,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,IFI30,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,IFI30,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,IFI30,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,IFI30,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00460,MIR149,IFI30,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,IFI30,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,IFI30,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,IFI30,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,IFI30,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,IFI30,immune.score,XCELL,1,BLCA
LINC00460,MIR149,IFI30,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,IFI30,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,MICB,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,MICB,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,MICB,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,MICB,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
LINC00460,MIR149,MICB,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,MICB,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,MICB,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,MICB,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,MICB,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,MICB,immune.score,XCELL,1,BLCA
LINC00460,MIR149,MICB,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,MICB,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,MICB,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,PLXND1,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,PLXND1,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,PLXND1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,PLXND1,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
LINC00460,MIR149,PLXND1,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,PLXND1,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,PLXND1,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,PLXND1,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,PLXND1,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,PLXND1,immune.score,XCELL,1,BLCA
LINC00460,MIR149,PLXND1,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,PLXND1,T.cell.CD4.,EPIC,1,BLCA
