"","lncRNA","MIRNA","addmir"
"2712","NEAT1","MIR195","miR-195-5p"
"2713","NEAT1","MIR3619","miR-3619-5p"
"2714","NEAT1","MIR373","miR-373"
"2715","NEAT1","MIR373","miR-373"
"2716","NEAT1","MIR212","miR-212-3p"
"2717","NEAT1","MIR221","miR-221-3p"
"2718","NEAT1","MIR339","miR-339-5p"
"2719","NEAT1","MIR1277","miR-1277-5p"
"2720","NEAT1","MIRLET7G","let-7g-5p"
"2721","NEAT1","MIR18A","miR-18a-5p"
"2722","NEAT1","MIR1224","miR-1224-5p"
"2723","NEAT1","MIR216B","miR-216b"
"2724","NEAT1","MIR216B","miR-216b"
"2725","NEAT1","MIR543","miR-543"
"2726","NEAT1","MIR543","miR-543"
"2727","Nespas","MIR615","miR-615-3p"
"2728","NORAD","MIR144","miR-144-3p"
"2729","NR2F1-AS1","MIR140","miR-140-5p"
"2730","OIP5-AS1","MIR34A","miR-34a"
"2731","OIP5-AS1","MIR34A","miR-34a"
"2732","OIP5-AS1","MIR186","miR-186-5p"
"2733","OIP5-AS1","MIR98","miR-98-5p"
"2734","OIP5-AS1","MIR27B","miR-27b-3p"
"2735","OTUD6B-AS1","MIR3171","miR-3171"
"2736","OTUD6B-AS1","MIR3171","miR-3171"
"2737","PCAT1","MIR216A","miR-216a-3p"
"2738","PCAT18","MIR759","miR-759"
"2739","PCAT18","MIR759","miR-759"
"2740","PCAT19","MIR142","miR-142-5p"
"2741","PCAT6","MIR513A1","miR-513a-5p"
"2742","PCAT6","MIR513A2","miR-513a-5p"
"2743","PCED1B-AS1","MIR194-1","miR-194-5p"
"2744","PCED1B-AS1","MIR194-2","miR-194-5p"
"2745","PCED1B-AS1","MIR484","miR-484"
"2746","PCED1B-AS1","MIR484","miR-484"
"2747","PDCD4-AS1","MIR10B","miR-10b-5p"
"2748","PEG10","MIR101-1","miR-101-3p"
"2749","PEG10","MIR101-2","miR-101-3p"
"2750","PGM5-AS1","MIR587","miR-587"
"2751","PGM5-AS1","MIR587","miR-587"
"2752","PlncRNA-1","MIR136","miR-136-5p"
"2753","PRNCR1","MIR330","miR-330-5p"
"2754","PTPRG-AS1","MIR200C","miR-200c-3p"
"2755","PTPRG-AS1","MIR545","miR-545-3p"
"2756","PTTG3P","MIR132","miR-132"
"2757","PTTG3P","MIR132","miR-132"
"2758","PTTG3P","MIR212","miR-212-3p"
"2759","PVT1","MIR423","miR-423-5p"
"2760","PVT1","MIR135A1","miR-135a-5p"
"2761","PVT1","MIR135A2","miR-135a-5p"
"2762","PVT1","MIR23A","miR-23a-3p"
"2763","PVT1","MIR194-1","miR-194-5p"
"2764","PVT1","MIR194-2","miR-194-5p"
"2765","PVT1","MIR503","miR-503"
"2766","PVT1","MIR503","miR-503"
"2767","PVT1","MIR15A","miR-15a-5p"
"2768","PVT1","MIR29C","miR-29c-3p"
"2769","PVT1","MIR93","miR-93-5p"
"2770","PWRN2","MIR325","miR-325"
"2771","PWRN2","MIR325","miR-325"
"2772","RAMP2-AS1","MIR296","miR-296-5p"
"2773","RNA01134","MIR4784","miR-4784"
"2774","RNA01134","MIR4784","miR-4784"
"2775","RNF144A-AS1","MIR455","miR-455-5p"
"2776","ROR1-AS1","MIR670","miR-670-3p"
"2777","ROR1-AS1","MIR4686","miR-4686"
"2778","ROR1-AS1","MIR4686","miR-4686"
"2779","RP11-757G1.5","MIR139","miR-139-5p"
"2780","SH3PXD2A-AS1","MIR330","miR-330-5p"
"2781","SLC16A1-AS1","MIR149","miR-149"
"2782","SLC16A1-AS1","MIR149","miR-149"
"2783","SNHG1","MIR320B1","miR-320b"
"2784","SNHG1","MIR320B2","miR-320b"
"2785","SNHG1","MIR154","miR-154-5p"
"2786","SNHG1","MIR140","miR-140-5p"
"2787","SNHG10","MIR532","miR-532-3p"
"2788","SNHG10","MIR182","miR-182-5p"
"2789","SNHG10","MIR21","miR-21"
"2790","SNHG10","MIR21","miR-21"
"2791","SNHG11","MIR483","miR-483-3p"
"2792","SNHG11","MIR1276","miR-1276"
"2793","SNHG11","MIR1276","miR-1276"
"2794","SNHG12","MIR148A","miR-148a"
"2795","SNHG12","MIR148A","miR-148a"
"2796","SNHG14","MIR330","miR-330-5p"
"2797","SNHG14","MIR613","miR-613"
"2798","SNHG14","MIR613","miR-613"
"2799","SNHG14","MIR655","miR-655-3p"
"2800","SNHG14","MIR193B","miR-193b-3p"
"2801","SNHG14","MIR93","miR-93-5p"
"2802","SNHG16","MIR15B","miR-15b-5p"
"2803","SNHG17","MIR23A","miR-23a-3p"
"2804","SNHG17","MIR485","miR-485-5p"
"2805","SNHG17","MIR324","miR-324-3p"
"2806","SNHG17","MIR375","miR-375"
"2807","SNHG17","MIR375","miR-375"
"2808","SNHG20","MIR338","miR-338-3p"
"2809","SNHG20","MIR495","miR-495"
"2810","SNHG20","MIR495","miR-495"
"2811","SNHG20","MIR342","miR-342"
"2812","SNHG20","MIR342","miR-342"
"2813","SNHG20","MIR520F","miR-520f-3p"
"2814","SNHG3","MIR3619","miR-3619-5p"
"2815","SNHG4","MIR204","miR-204-5p"
"2816","SNHG5","MIR26B","miR-26b"
"2817","SNHG5","MIR26B","miR-26b"
"2818","SNHG5","MIR205","miR-205"
"2819","SNHG5","MIR205","miR-205"
"2820","SNHG5","MIR655","miR-655-3p"
"2821","SNHG5","MIR10A","miR-10a-5p"
"2822","SNHG6","MIR186","miR-186-5p"
"2823","SNHG6","MIR944","miR-944"
"2824","SNHG6","MIR944","miR-944"
"2825","SNHG7","MIR15A","miR-15a"
"2826","SNHG7","MIR15A","miR-15a"
"2827","SNHG7","MIR214","miR-214-5p"
"2828","SNHG7","MIR34A","miR-34a"
"2829","SNHG7","MIR34A","miR-34a"
"2830","SOX21-AS1","MIR7-1","miR-7-5p"
"2831","SOX21-AS1","MIR7-2","miR-7-5p"
"2832","SOX21-AS1","MIR7-3","miR-7-5p"
"2833","SPINT1-AS1","MIRLET7B","let-7b"
"2834","SPINT1-AS1","MIRLET7B","let-7b"
