"","lncRNA","MIRNA","addmir"
"632","SNHG15","MIR98","miR-98"
"633","SNHG16","MIR4518","miR-4518"
"634","SNHG16","MIR4518","miR-4518"
"635","SNHG20","MIR140","miR-140-5p"
"636","SNHG5","MIR377","miR-377"
"637","SNHG5","MIR377","miR-377"
"638","SNHG7","MIR503","miR-503"
"639","SNHG7","MIR503","miR-503"
"640","SNHG8","MIR152","miR-152"
"641","SNHG8","MIR152","miR-152"
"642","SOX2OT","MIR200A","miR-200a"
"643","SOX2OT","MIR200A","miR-200a"
"644","SOX2OT","MIR200B","miR-200b"
"645","SOX2OT","MIR200B","miR-200b"
"646","SOX2OT","MIR200C","miR-200c"
"647","SOX2OT","MIR200C","miR-200c"
"648","TINCR","MIR544","miR-544a"
"649","TINCR","MIR544","miR-544a"
"650","TP53TG","MIR18A","miR-18a"
"651","TP53TG","MIR18A","miR-18a"
"652","TUG1","MIR129-1","miR-129-5p"
"653","TUG1","MIR129-2","miR-129-5p"
"654","TUG1","MIR145","miR-145"
"655","TUG1","MIR145","miR-145"
"656","TUG1","MIR132","miR-132-3p"
"657","TUG1","MIR29C","miR-29c"
"658","TUG1","MIR29C","miR-29c"
"659","TUNAR","MIR200A","miR-200a"
"660","TUNAR","MIR200A","miR-200a"
"661","TUSC7","MIR224","miR-224"
"662","TUSC7","MIR224","miR-224"
"663","UCA1","MIR126","miR-126"
"664","UCA1","MIR126","miR-126"
"665","UCA1","MIR206","miR-206"
"666","UCA1","MIR206","miR-206"
"667","UCA1","MIR7-1","miR-7-5p"
"668","UCA1","MIR7-2","miR-7-5p"
"669","UCA1","MIR7-3","miR-7-5p"
"670","UCA1","MIR122","miR-122-5p"
"671","UCA1","MIR125A","miR-125a"
"672","UCA1","MIR125A","miR-125a"
"673","UCA1","MIR18A","miR-18a"
"674","UCA1","MIR18A","miR-18a"
"675","UCA1","MIR193A","miR-193a"
"676","UCA1","MIR193A","miR-193a"
"677","UCA1","MIR590","miR-590-3p"
"678","UCA1","MIR96","miR-96"
"679","UCA1","MIR96","miR-96"
"680","UCA1","MIR301A","miR-301a"
"681","UCA1","MIR301A","miR-301a"
"682","XIST","MIR185","miR-185"
"683","XIST","MIR185","miR-185"
"684","XIST","MIR367","miR-367"
"685","XIST","MIR367","miR-367"
"686","XIST","MIR141","miR-141"
"687","XIST","MIR141","miR-141"
"688","XIST","MIR200C","miR-200c"
"689","XIST","MIR200C","miR-200c"
"690","XIST","MIR194-1","miR-194-5p"
"691","XIST","MIR194-2","miR-194-5p"
"692","XIST","MIR137","miR-137"
"693","XIST","MIR137","miR-137"
"694","XIST","MIR491","miR-491-5p"
"695","XIST","MIR34A","miR-34a"
"696","XIST","MIR34A","miR-34a"
"697","XIST","MIR155","miR-155"
"698","XIST","MIR155","miR-155"
"699","XIST","MIR195","miR-195-5p"
"700","ZEB1","MIR205","miR-205-5p"
"701","ZEB2-AS1","MIR204","miR-204"
"702","ZEB2-AS1","MIR204","miR-204"
"703","LINC00319","MIR32","miR-32"
"704","LINC00319","MIR32","miR-32"
"705","C2DAT1","MIR34A","miR-34a-5p"
"706","AGER1","MIR185","miR-185"
"707","AGER1","MIR185","miR-185"
"708","AK027145","MIR148B","miR-148b"
"709","AK027145","MIR148B","miR-148b"
"710","ANRIL","MIR34A","miR-34a"
"711","ANRIL","MIR34A","miR-34a"
"712","ANRIL","MIR122","miR-122-5p"
"713","ASLNC02525","MIR489","miR-489-3p"
"714","BANCR","MIR204","miR-204"
"715","BANCR","MIR204","miR-204"
"716","CAMTA1","MIR20B","miR-20b"
"717","CAMTA1","MIR20B","miR-20b"
"718","CASC2","MIR24-1","miR-24-3p"
"719","CASC2","MIR24-2","miR-24-3p"
"720","CASC2","MIR367","miR-367"
"721","CASC2","MIR367","miR-367"
"722","CASC7","MIR21","miR-21"
"723","CASC7","MIR21","miR-21"
"724","CCAT1","MIR181A2","miR-181a-5p"
"725","CCAT1","MIR181A1","miR-181a-5p"
"726","CCAT1","MIR218-1","miR-218-5p"
"727","CCAT1","MIR218-2","miR-218-5p"
"728","CCAT1","MIR410","miR-410"
"729","CCAT1","MIR410","miR-410"
"730","CCAT1","MIR490","miR-490-3p"
"731","CCAT1","MIR148A","miR-148a"
"732","CCAT1","MIR148A","miR-148a"
"733","CCAT1","MIR148B","miR-148b"
"734","CCAT1","MIR148B","miR-148b"
"735","CCAT2","MIR216B","miR-216b"
"736","CCAT2","MIR216B","miR-216b"
"737","CCAT2","MIR34A","miR-34a"
"738","CCAT2","MIR34A","miR-34a"
"739","CRNDE","MIR384","miR-384"
"740","CRNDE","MIR384","miR-384"
"741","CRNDE","MIR136","miR-136-5p"
"742","CRNDE","MIR217","miR-217"
"743","CRNDE","MIR217","miR-217"
"744","CRNDE-p","MIR217","miR-217"
"745","CRNDE-p","MIR217","miR-217"
"746","CTA","MIR210","miR-210"
"747","CTA","MIR210","miR-210"
"748","DANCR","MIR496","miR-496"
"749","DANCR","MIR496","miR-496"
"750","DGCR5","MIR1180","miR-1180"
"751","DGCR5","MIR1180","miR-1180"
"752","FOXD2-AS1","MIR363","miR-363-5p"
"753","FTX","MIR342","miR-342-3p"
"754","GAPLINC","MIR34A","miR-34a"
"755","GAPLINC","MIR34A","miR-34a"
"756","GAS5","MIR222","miR-222-3p"
"757","GAS5","MIR205","miR-205"
"758","GAS5","MIR205","miR-205"
"759","GAS5","MIR137","miR-137"
"760","GAS5","MIR137","miR-137"
"761","Gm15290","MIR615","miR-615-5p"
"762","H19","MIR18A","miR-18a"
"763","H19","MIR18A","miR-18a"
"764","H19","MIR19A","miR-19a"
"765","H19","MIR19A","miR-19a"
"766","H19","MIR20A","miR-20a"
"767","H19","MIR20A","miR-20a"
"768","H19","MIR675","miR-675-5p"
"769","H19","MIR21","miR-21"
"770","H19","MIR21","miR-21"
"771","HCAL","MIR15A","miR-15a"
"772","HCAL","MIR15A","miR-15a"
"773","HCAL","MIR196B","miR-196b"
"774","HCAL","MIR196B","miR-196b"
"775","HEIH","MIR200B","miR-200b"
"776","HEIH","MIR200B","miR-200b"
"777","HEIH","MIR200A","miR-200a"
"778","HEIH","MIR200A","miR-200a"
"779","HEIH","MIR429","miR-429"
"780","HEIH","MIR429","miR-429"
"781","HERG","MIR940","miR-940"
"782","HERG","MIR940","miR-940"
"783","HIF1A-AS2","MIR129-1","miR-129-5p"
"784","HIF1A-AS2","MIR129-2","miR-129-5p"
"785","HIX0023999","MIR148B","miR-148b"
"786","HIX0023999","MIR148B","miR-148b"
"787","HNF1A-AS1","MIR34A","miR-34a"
"788","HNF1A-AS1","MIR34A","miR-34a"
"789","HNF1A-AS1","MIR17","miR-17-5p"
"790","HNF1A-AS1","MIR214","miR-214"
"791","HNF1A-AS1","MIR214","miR-214"
"792","HOTAIR","MIR613","miR-613"
"793","HOTAIR","MIR613","miR-613"
"794","HOTAIR","MIR197","miR-197"
"795","HOTAIR","MIR197","miR-197"
"796","HOTAIR","MIR152","miR-152-3p"
"797","HOTAIR","MIR17","miR-17-5p"
"798","HOTAIR","MIR545","miR-545"
"799","HOTAIR","MIR545","miR-545"
"800","HOTTIP","MIR574","miR-574-5p"
"801","HOXA11-AS","MIR200B","miR-200b"
"802","HOXA11-AS","MIR200B","miR-200b"
"803","HOXA11-AS","MIR125A","miR-125a-5p"
"804","HOXD-AS1","MIR147","miR-147a"
"805","HOXD-AS1","MIR147","miR-147a"
"806","HOXD-AS1","MIR130A","miR-130a-3p"
"807","HOXD-AS1","MIR19A","miR-19a"
"808","HOXD-AS1","MIR19A","miR-19a"
"809","HULC","MIR122","miR-122"
"810","HULC","MIR122","miR-122"
"811","ILF3-AS1","MIR200B","miR-200b"
"812","ILF3-AS1","MIR200B","miR-200b"
"813","ILF3-AS1","MIR200A","miR-200a"
"814","ILF3-AS1","MIR200A","miR-200a"
"815","ILF3-AS1","MIR429","miR-429"
"816","ILF3-AS1","MIR429","miR-429"
"817","KCNQ1OT1","MIR370","miR-370"
"818","KCNQ1OT1","MIR370","miR-370"
"819","LET","MIR145","miR-145"
"820","LET","MIR145","miR-145"
"821","LINC00152","MIR205","miR-205"
"822","LINC00152","MIR205","miR-205"
"823","LINC00152","MIR103A2","miR-103a-3p"
"824","LINC00152","MIR103A1","miR-103a-3p"
"825","LINC00176","MIR185","miR-185"
"826","LINC00176","MIR185","miR-185"
"827","LINC00339","MIR539","miR-539-5p"
"828","LINC00460","MIR149","miR-149-5p"
"829","LINC00473","MIR195","miR-195"
"830","LINC00473","MIR195","miR-195"
"831","LINC00511","MIR29B1","miR-29b-3p"
"832","LINC00511","MIR29B2","miR-29b-3p"
"833","LINC00657","MIR106A","miR-106a-5p"
"834","LINC00673","MIR150","miR-150-5p"
"835","LINC0086","MIR214","miR-214"
"836","LINC0086","MIR214","miR-214"
"837","LINC01133","MIR422A","miR-422a"
"838","LINC01133","MIR422A","miR-422a"
"839","LINC01296","MIR122","miR-122"
"840","LINC01296","MIR122","miR-122"
"841","ATB","MIR141","miR-141-3p"
"842","LOC101927497","MIR574","miR-574-5p"
"843","LUCAT1","MIR200C","miR-200c"
"844","LUCAT1","MIR200C","miR-200c"
"845","M18204.1","MIR148B","miR-148b"
"846","M18204.1","MIR148B","miR-148b"
"847","MALAT1","MIR101-1","miR-101-3p"
"848","MALAT1","MIR101-2","miR-101-3p"
"849","MALAT1","MIR143","miR-143"
"850","MALAT1","MIR143","miR-143"
"851","MALAT1","MIR216A","miR-216a"
"852","MALAT1","MIR216A","miR-216a"
"853","MALAT1","MIR140","miR-140"
"854","MALAT1","MIR140","miR-140"
"855","MALAT1","MIR23B","miR-23b-3p"
"856","MALAT1","MIR509-1","miR-509-5p"
"857","MALAT1","MIR509-2","miR-509-5p"
"858","MALAT1","MIR1297","miR-1297"
"859","MALAT1","MIR1297","miR-1297"
"860","MALAT1","MIR195","miR-195"
"861","MALAT1","MIR195","miR-195"
"862","MALAT1","MIR144","miR-144-3p"
"863","MEG3","MIR770","miR-770"
"864","MEG3","MIR183","miR-183"
"865","MEG3","MIR183","miR-183"
"866","MEG3","MIR22","miR-22-5p"
"867","MEG3","MIR22","miR-22-3p"
"868","MEG3","MIR664","miR-664a"
"869","MEG3","MIR664","miR-664a"
"870","MEG3","MIR421","miR-421"
"871","MEG3","MIR421","miR-421"
"872","MEG3","MIR93","miR-93"
"873","MEG3","MIR93","miR-93"
"874","MIAT","MIR155","miR-155-5p"
"875","miR210HG","MIR503","miR-503"
"876","miR210HG","MIR503","miR-503"
"877","MSTO2P","MIR335","miR-335"
"878","MSTO2P","MIR335","miR-335"
"879","NBAT1","MIR21","miR-21"
"880","NBAT1","MIR21","miR-21"
"881","NEAT1","MIR485","miR-485"
"882","NEAT1","MIR485","miR-485"
"883","NEAT1","MIR211","miR-211"
"884","NEAT1","MIR211","miR-211"
"885","NEAT1","MIR193A","miR-193a"
"886","NEAT1","MIR193A","miR-193a"
"887","NEAT1","MIR193B","miR-193b-3p"
"888","NEAT1","MIR107","miR-107"
"889","NEAT1","MIR107","miR-107"
"890","NEAT1","MIR98","miR-98-5p"
"891","NEAT1","MIR613","miR-613"
"892","NEAT1","MIR613","miR-613"
"893","NEAT1","MIR101-1","miR-101-3p"
"894","NEAT1","MIR101-2","miR-101-3p"
"895","NEAT1","MIR181A2","miR-181a-5p"
"896","NEAT1","MIR181A1","miR-181a-5p"
"897","NNT-AS1","MIR363","miR-363"
"898","NNT-AS1","MIR363","miR-363"
"899","BLACAT1","MIR144","miR-144"
"900","BLACAT1","MIR144","miR-144"
"901","ODRUL","MIR3182","miR-3182"
"902","ODRUL","MIR3182","miR-3182"
"903","OIP5-AS1","MIR448","miR-448"
"904","OIP5-AS1","MIR448","miR-448"
"905","PART1","MIR143","miR-143"
"906","PART1","MIR143","miR-143"
"907","PCAT1","MIR122","miR-122"
"908","PCAT1","MIR122","miR-122"
"909","PCAT-1","MIR129-1","miR-129-5p"
"910","PCAT-1","MIR129-2","miR-129-5p"
"911","PCAT-1","MIR215","miR-215"
"912","PCAT-1","MIR215","miR-215"
"913","PCAT-1","MIR34A","miR-34a"
"914","PCAT-1","MIR34A","miR-34a"
"915","PCAT14","MIR372","miR-372"
"916","PCAT14","MIR372","miR-372"
"917","PCAT7","MIR134","miR-134-5p"
"918","PDIA3P","MIR185","miR-185-5p"
"919","PRINS","MIR491","miR-491-5p"
"920","PTENP1","MIR106B","miR-106b"
"921","PTENP1","MIR106B","miR-106b"
"922","PTENP1","MIR93","miR-93"
"923","PTENP1","MIR93","miR-93"
"924","PTENP1","MIR193A","miR-193a-3p"
"925","PVT1","MIR199A1","miR-199a-5p"
"926","PVT1","MIR199A2","miR-199a-5p"
"927","PVT1","MIR186","miR-186-5p"
"928","PVT1","MIR200A","miR-200a"
"929","PVT1","MIR200A","miR-200a"
"930","PVT1-5","MIR126","miR-126"
"931","PVT1-5","MIR126","miR-126"
"932","lincRNA-ROR","MIR145","miR-145-5p"
"933","RP11-436H11.5","MIR335","miR-335-5p"
"934","RPPH1","MIR122","miR-122"
"935","RPPH1","MIR122","miR-122"
"936","SNHG1","MIR145","miR-145"
"937","SNHG1","MIR145","miR-145"
"938","SNHG1","MIR326","miR-326"
"939","SNHG1","MIR326","miR-326"
"940","SNHG1","MIR101-1","miR-101-3p"
"941","SNHG1","MIR101-2","miR-101-3p"
"942","SNHG1","MIR195","miR-195"
"943","SNHG1","MIR195","miR-195"
"944","SNHG1","MIR338","miR-338"
"945","SNHG1","MIR338","miR-338"
"946","SNHG12","MIR195","miR-195"
"947","SNHG12","MIR195","miR-195"
"948","SNHG12","MIR195","miR-195-5p"
"949","SNHG15","MIR211","miR-211-3p"
"950","SNHG15","MIR141","miR-141"
"951","SNHG15","MIR141","miR-141"
"952","SNHG16","MIR140","miR-140-5p"
"953","SNHG3","MIR182","miR-182-5p"
"954","SNHG5","MIR205","miR-205-5p"
"955","SNHG6","MIR101-1","miR-101-3p"
"956","SNHG6","MIR101-2","miR-101-3p"
"957","SNHG6","MIR26B","miR-26b"
"958","SNHG6","MIR26B","miR-26b"
"959","SNHG7","MIR193B","miR-193b"
"960","SNHG7","MIR193B","miR-193b"
"961","SOX21-AS1","MIR145","miR-145"
"962","SOX21-AS1","MIR145","miR-145"
"963","SOX2OT","MIR194-1","miR-194-5p"
"964","SOX2OT","MIR194-2","miR-194-5p"
"965","SOX2OT","MIR122","miR-122"
"966","SOX2OT","MIR122","miR-122"
"967","STARD13","MIR340","miR-340"
"968","STARD13","MIR340","miR-340"
"969","STARD13","MIR448","miR-448"
"970","STARD13","MIR448","miR-448"
"971","STARD13","MIR216B","miR-216b"
"972","STARD13","MIR216B","miR-216b"
"973","TALNEC2","MIR21","miR-21"
"974","TALNEC2","MIR21","miR-21"
"975","TALNEC2","MIR191","miR-191"
"976","TALNEC2","MIR191","miR-191"
"977","TINCR","MIR137","miR-137"
"978","TINCR","MIR137","miR-137"
"979","TINCR","MIR375","miR-375"
"980","TINCR","MIR375","miR-375"
"981","TP73-AS1","MIR200A","miR-200a"
"982","TP73-AS1","MIR200A","miR-200a"
"983","TTN-AS1","MIR133B","miR-133b"
"984","TTN-AS1","MIR133B","miR-133b"
"985","TUBB2A","MIR596","miR-596"
"986","TUBB2A","MIR596","miR-596"
"987","TUG1","MIR382","miR-382"
"988","TUG1","MIR382","miR-382"
"989","TUG1","MIR138-2","miR-138-5p"
"990","TUG1","MIR138-1","miR-138-5p"
"991","TUG1","MIR381","miR-381"
"992","TUG1","MIR381","miR-381"
"993","TUSC7","MIR23B","miR-23b"
"994","TUSC7","MIR23B","miR-23b"
"995","UCA1","MIR184","miR-184"
"996","UCA1","MIR184","miR-184"
"997","UCA1","MIR143","miR-143"
"998","UCA1","MIR143","miR-143"
"999","UCA1","MIR195","miR-195"
"1000","UCA1","MIR195","miR-195"
"1001","UCA1","MIR495","miR-495"
"1002","UCA1","MIR495","miR-495"
"1003","UCA1","MIR144","miR-144"
"1004","UCA1","MIR144","miR-144"
"1005","UICLM","MIR215","miR-215"
"1006","UICLM","MIR215","miR-215"
"1007","USP16","MIR21","miR-21"
"1008","USP16","MIR21","miR-21"
"1009","USP16","MIR590","miR-590-5p"
"1010","XIST","MIR139","miR-139-5p"
"1011","XIST","MIR140","miR-140"
"1012","XIST","MIR140","miR-140"
"1013","XIST","MIR429","miR-429"
"1014","XIST","MIR429","miR-429"
"1015","XIST","MIR21","miR-21-5p"
"1016","XIST","MIR23A","miR-23a"
"1017","XIST","MIR23A","miR-23a"
"1018","XIST","MIR29C","miR-29c"
"1019","XIST","MIR29C","miR-29c"
"1020","XIST","MIR186","miR-186-5p"
"1021","XIST","MIR132","miR-132-3p"
"1022","XIST","MIRLET7I","let-7i"
"1023","XIST","MIRLET7I","let-7i"
"1024","XIST","MIR320B1","miR-320b"
"1025","XIST","MIR320B2","miR-320b"
"1026","XLOC_000983","MIR148B","miR-148b"
"1027","XLOC_000983","MIR148B","miR-148b"
"1028","XLOC_005104","MIR148B","miR-148b"
"1029","XLOC_005104","MIR148B","miR-148b"
"1030","XLOC_006324","MIR148B","miR-148b"
"1031","XLOC_006324","MIR148B","miR-148b"
"1032","ZFAS1","MIR150","miR-150-5p"
"1033","ZFAS1","MIR150","miR-150"
"1034","ZFAS1","MIR150","miR-150"
"1035","ZFAS1","MIR200B","miR-200b"
"1036","ZFAS1","MIR200B","miR-200b"
"1037","ZFAS1","MIR200C","miR-200c"
"1038","ZFAS1","MIR200C","miR-200c"
"1039","AC130710","MIR129-1","miR-129-5p"
"1040","AC130710","MIR129-2","miR-129-5p"
"1041","CTBP","MIR21","miR-21-5p"
"1042","CTBP","MIR16-2","miR-16-2"
"1043","CTBP","MIR16-2","miR-16-2"
"1044","DLEU2","MIR16-1","miR-16-1"
"1045","DLEU2","MIR16-1","miR-16-1"
"1046","DLEU2","MIR15A","miR-15a"
"1047","DLEU2","MIR15A","miR-15a"
"1048","DNM3OS","MIR214","miR-214"
"1049","DNM3OS","MIR214","miR-214"
"1050","ENST00000515084","MIR370","miR-370"
"1051","ENST00000515084","MIR370","miR-370"
"1052","HOTAIR","MIR125A","miR-125a-5p"
"1053","AKR7L","MIR23B","miR-23b"
"1054","AKR7L","MIR23B","miR-23b"
"1055","ANRIL","MIR99A","miR-99a"
"1056","ANRIL","MIR99A","miR-99a"
"1057","ANRIL","MIR449A","miR-449a"
"1058","ANRIL","MIR449A","miR-449a"
"1059","BC040587","MIR23B","miR-23b"
"1060","BC040587","MIR23B","miR-23b"
"1061","CASC2","MIR18A","miR-18a"
"1062","CASC2","MIR18A","miR-18a"
"1063","CCAT1","MIR155","miR-155"
"1064","CCAT1","MIR155","miR-155"
"1065","CCAT1","MIR490","miR-490"
"1066","CCAT1","MIR490","miR-490"
"1067","CRNDE","MIR186","miR-186"
"1068","CRNDE","MIR186","miR-186"
"1069","DQ192290","MIR23B","miR-23b"
"1070","DQ192290","MIR23B","miR-23b"
"1071","FTX","MIR374A","miR-374a"
"1072","FTX","MIR374A","miR-374a"
"1073","GIHCG","MIR200B","miR-200b"
"1074","GIHCG","MIR200B","miR-200b"
"1075","GIHCG","MIR200A","miR-200a"
"1076","GIHCG","MIR200A","miR-200a"
"1077","GIHCG","MIR429","miR-429"
"1078","GIHCG","MIR429","miR-429"
"1079","H19","MIR194-1","miR-194-5p"
"1080","H19","MIR194-2","miR-194-5p"
"1081","H19","MIR148A","miR-148a-3p"
"1082","H19","MIR140","miR-140"
"1083","H19","MIR140","miR-140"
"1084","H19","MIR372","miR-372"
"1085","H19","MIR372","miR-372"
"1086","H19","MIR373","miR-373"
"1087","H19","MIR373","miR-373"
"1088","H19","MIR429","miR-429"
"1089","H19","MIR429","miR-429"
"1090","HNF1A-AS1","MIR30B","miR-30b"
"1091","HNF1A-AS1","MIR30B","miR-30b"
"1092","HOTAIR","MIR326","miR-326"
"1093","HOTAIR","MIR326","miR-326"
"1094","HOTAIR","MIR126","miR-126"
"1095","HOTAIR","MIR126","miR-126"
"1096","CTNNAP1","MIR141","miR-141"
"1097","CTNNAP1","MIR141","miR-141"
"1098","ENST00000518554","MIR15A","miR-15a"
"1099","ENST00000518554","MIR15A","miR-15a"
"1100","ENST00000520186","MIR21","miR-21"
"1101","ENST00000520186","MIR21","miR-21"
"1102","ENST00000559981","MIR29C","miR-29c"
"1103","ENST00000559981","MIR29C","miR-29c"
"1104","FGFR3-AS","MIR374A","miR-374a"
"1105","FGFR3-AS","MIR374A","miR-374a"
"1106","FTX","MIR545","miR-545"
"1107","FTX","MIR545","miR-545"
"1108","GCASPC","MIR17","miR-17-3p"
"1109","MIR155HG","MIR155","miR-155"
"1110","MIR155HG","MIR155","miR-155"
"1111","NEAT1","MIR214","miR-214"
"1112","NEAT1","MIR214","miR-214"
"1113","NEAT1","MIR204","miR-204"
"1114","NEAT1","MIR204","miR-204"
"1115","NEAT1","MIRLET7E","let-7e"
"1116","NEAT1","MIRLET7E","let-7e"
"1117","NEAT1","MIR506","miR-506-3p"
"1118","NEAT1","MIR449A","miR-449a"
"1119","NEAT1","MIR449A","miR-449a"
"1120","NeD125","MIR125B1","miR-125b-1"
"1121","NeD125","MIR125B1","miR-125b-1"
"1122","NLC1-C","MIR320A","miR-320a"
"1123","NLC1-C","MIR320A","miR-320a"
"1124","NLC1-C","MIR383","miR-383"
"1125","NLC1-C","MIR383","miR-383"
"1126","NUTF2P3-001","MIR3923","miR-3923"
"1127","NUTF2P3-001","MIR3923","miR-3923"
"1128","p21","MIR146B","miR-146b-5p"
"1129","PlncRNA-1","MIR34C","miR-34c"
"1130","PlncRNA-1","MIR34C","miR-34c"
"1131","PlncRNA-1","MIR297","miR-297"
"1132","PlncRNA-1","MIR297","miR-297"
"1133","PTENP1","MIR17","miR-17"
"1134","PTENP1","MIR17","miR-17"
"1135","PTENP1","MIR20A","miR-20a"
"1136","PTENP1","MIR20A","miR-20a"
"1137","PVT1","MIR1207","miR-1207-5p"
"1138","lincRNA-ROR","MIR34A","miR-34a"
"1139","lincRNA-ROR","MIR34A","miR-34a"
"1140","RP11-838N2.4","MIR10A","miR-10a"
"1141","RP11-838N2.4","MIR10A","miR-10a"
"1142","SIRT1-AS","MIR29C","miR-29c"
"1143","SIRT1-AS","MIR29C","miR-29c"
"1144","MEG3","MIR3163","miR-3163"
"1145","MEG3","MIR3163","miR-3163"
"1146","SOX2OT","MIR211","miR-211"
"1147","SOX2OT","MIR211","miR-211"
"1148","treRNA","MIR190","miR-190a"
"1149","treRNA","MIR190","miR-190a"
"1150","TUG1","MIR144","miR-144"
"1151","TUG1","MIR144","miR-144"
"1152","TUG1","MIR299","miR-299"
"1153","TUG1","MIR299","miR-299"
"1154","TUG1","MIR34A","miR-34a-5p"
"1155","UCA1","MIR196A1","miR-196a-5p"
"1156","UCA1","MIR196A2","miR-196a-5p"
"1157","UCA1","MIR27B","miR-27b"
"1158","UCA1","MIR27B","miR-27b"
"1159","UCA1","MIR507","miR-507"
"1160","UCA1","MIR507","miR-507"
"1161","UCA1","MIR145","miR-145"
"1162","UCA1","MIR145","miR-145"
"1163","UCA1","MIR193A","miR-193a-3p"
"1164","ucoo2kmd.1","MIR211","miR-211-3p"
"1165","XIST","MIR92B","miR-92b"
"1166","XIST","MIR92B","miR-92b"
"1167","XIST","MIR152","miR-152"
"1168","XIST","MIR152","miR-152"
"1169","HOTAIR","MIR373","miR-373"
"1170","HOTAIR","MIR373","miR-373"
"1171","HOTAIR","MIR663B","miR-663b"
"1172","HOTAIR","MIR663B","miR-663b"
"1173","HOTAIR","MIR193A","miR-193a"
"1174","HOTAIR","MIR193A","miR-193a"
"1175","HOTAIR","MIR205","miR-205"
"1176","HOTAIR","MIR205","miR-205"
"1177","HOTAIR","MIR152","miR-152"
"1178","HOTAIR","MIR152","miR-152"
"1179","HOTAIR","MIR21","miR-21"
"1180","HOTAIR","MIR21","miR-21"
"1181","HOTAIRM1","MIR196B","miR-196b"
"1182","HOTAIRM1","MIR196B","miR-196b"
"1183","HOTTIP","MIR192","miR-192"
"1184","HOTTIP","MIR192","miR-192"
"1185","HOTTIP","MIR204","miR-204"
"1186","HOTTIP","MIR204","miR-204"
"1187","HULC","MIR107","miR-107"
"1188","HULC","MIR107","miR-107"
"1189","LINC00152","MIR485","miR-485-3p"
"1190","LINC00152","MIR802","miR-802"
"1191","LINC00152","MIR802","miR-802"
"1192","LINC00261","MIR802","miR-802"
"1193","LINC00261","MIR802","miR-802"
"1194","lnc34a","MIR34A","miR-34a"
"1195","lnc34a","MIR34A","miR-34a"
"1196","LOC150622","MIR23B","miR-23b"
"1197","LOC150622","MIR23B","miR-23b"
"1198","M59227","MIR23B","miR-23b"
"1199","M59227","MIR23B","miR-23b"
"1200","MALAT1","MIR448","miR-448"
"1201","MALAT1","MIR448","miR-448"
"1202","MALAT1","MIR26B","miR-26b"
"1203","MALAT1","MIR26B","miR-26b"
"1204","LINC00152","MIR376C","miR-376c-3p"
"1205","LINC00312","MIR197","miR-197-3p"
"1206","LOC554202","MIR31","miR-31"
"1207","LOC554202","MIR31","miR-31"
"1208","MALAT1","MIR506","miR-506"
"1209","MALAT1","MIR506","miR-506"
"1210","MALAT1","MIR205","miR-205"
"1211","MALAT1","MIR205","miR-205"
"1212","MEG3","MIR29A","miR-29a"
"1213","MEG3","MIR29A","miR-29a"
"1214","MEG3","MIR185","miR-185"
"1215","MEG3","MIR185","miR-185"
"1216","MEG3","MIR141","miR-141"
"1217","MEG3","MIR141","miR-141"
"1218","MEG3","MIR148A","miR-148a"
"1219","MEG3","MIR148A","miR-148a"
"1220","MIF","MIR586","miR-586"
"1221","MIF","MIR586","miR-586"
"1222","MINCR","MIR26A1","miR-26a-5p"
"1223","MINCR","MIR26A2","miR-26a-5p"
"1224","DSCR8","MIR485","miR-485-5p"
"1225","RP11-523G9.3","MIR19B1","miR-19b-3p"
"1226","RP11-523G9.3","MIR19B2","miR-19b-3p"
"1227","CTB-180A7.6","MIR19B1","miR-19b-3p"
"1228","CTB-180A7.6","MIR19B2","miR-19b-3p"
"1229","RP11-79H23.3","MIR107","miR-107"
"1230","RP11-79H23.3","MIR107","miR-107"
"1231","LINC01133","MIR106A","miR-106a-3p"
"1232","NONhsaG007671","MIR199A1","miR-199a-3p"
"1233","NONhsaG007671","MIR199A2","miR-199a-3p"
"1234","KRAL","MIR141","miR-141"
"1235","KRAL","MIR141","miR-141"
"1236","SNHG16","MIR15A","miR-15a"
"1237","SNHG16","MIR15A","miR-15a"
"1238","SBF2-AS1","MIR149","miR-149-5p"
"1239","HOXA11-AS","MIR454","miR-454-3p"
"1240","AP000695.4","MIR101-1","miR-101-3p"
"1241","AP000695.4","MIR101-2","miR-101-3p"
"1242","NEAT1","MIR9-1","miR-9-5p"
"1243","NEAT1","MIR9-2","miR-9-5p"
"1244","NEAT1","MIR9-3","miR-9-5p"
"1245","MALAT1","MIR140","miR-140-5p"
"1246","FAL1","MIR637","miR-637"
"1247","FAL1","MIR637","miR-637"
"1248","lnc015192","MIR34A","miR-34a"
"1249","lnc015192","MIR34A","miR-34a"
"1250","lncARSR","MIR200A","miR-200a"
"1251","lncARSR","MIR200A","miR-200a"
"1252","lncARSR","MIR200B","miR-200b"
"1253","lncARSR","MIR200B","miR-200b"
"1254","lncARSR","MIR200C","miR-200c"
"1255","lncARSR","MIR200C","miR-200c"
"1256","linc00152","MIR125B1","miR-125b-1"
"1257","linc00152","MIR125B1","miR-125b-1"
"1258","NRAL","MIR340","miR-340-5p"
"1259","XIST","MIR211","miR-211"
"1260","XIST","MIR211","miR-211"
"1261","Linc01287","MIR298","miR-298"
"1262","Linc01287","MIR298","miR-298"
"1263","BDNF-AS","MIR130B","miR-130b-5p"
"1264","TP73-AS1","MIR194-1","miR-194-5p"
