lncRNA,miRNA,gene,DE_type,cancer,ceRNA
AC095055.1,MIR193A,TCF7L2,lnc_gene_sig,BRCA,AC095055.1-MIR193A-TCF7L2
AC095055.1,MIR193A,TGFB2,lnc_sig,BRCA,AC095055.1-MIR193A-TGFB2
AC100861.1,MIR320B2,PPIA,gene_sig,BRCA,AC100861.1-MIR320B2-PPIA
AC100861.1,MIR320C1,MDK,gene_sig,BRCA,AC100861.1-MIR320C1-MDK
AC100861.1,MIR320C2,MDK,gene_sig,BRCA,AC100861.1-MIR320C2-MDK
AC104667.2,MIR10B,ACTG1,lnc_miR_gene_sig,BRCA,AC104667.2-MIR10B-ACTG1
AC104667.2,MIR10B,PAK4,lnc_miR_gene_sig,BRCA,AC104667.2-MIR10B-PAK4
AC104667.2,MIR10B,PSMD13,lnc_miR_sig,BRCA,AC104667.2-MIR10B-PSMD13
AC104667.2,MIR218-1,PPIA,lnc_gene_sig,BRCA,AC104667.2-MIR218-1-PPIA
AC104667.2,MIR218-1,RHOA,lnc_sig,BRCA,AC104667.2-MIR218-1-RHOA
AC104667.2,MIR218-1,VAV2,lnc_gene_sig,BRCA,AC104667.2-MIR218-1-VAV2
AC104667.2,MIR218-2,PPIA,lnc_gene_sig,BRCA,AC104667.2-MIR218-2-PPIA
AC104667.2,MIR218-2,VAV2,lnc_gene_sig,BRCA,AC104667.2-MIR218-2-VAV2
AC104667.2,MIR3194,ACTG1,lnc_gene_sig,BRCA,AC104667.2-MIR3194-ACTG1
AC104667.2,MIR3194,GRB2,lnc_gene_sig,BRCA,AC104667.2-MIR3194-GRB2
AC104667.2,MIR3194,RAC3,lnc_gene_sig,BRCA,AC104667.2-MIR3194-RAC3
AC104667.2,MIR326,ACTG1,lnc_gene_sig,BRCA,AC104667.2-MIR326-ACTG1
AC104667.2,MIR326,ANXA6,lnc_sig,BRCA,AC104667.2-MIR326-ANXA6
AC111152.2,MIR320B2,PPIA,gene_sig,BRCA,AC111152.2-MIR320B2-PPIA
AC111152.2,MIR320C2,MDK,gene_sig,BRCA,AC111152.2-MIR320C2-MDK
AC124068.2,MIR1277,SEMA3F,lnc_gene_sig,BRCA,AC124068.2-MIR1277-SEMA3F
AC124068.2,MIR766,AEN,lnc_sig,BRCA,AC124068.2-MIR766-AEN
AC124068.2,MIR766,MYDGF,lnc_gene_sig,BRCA,AC124068.2-MIR766-MYDGF
AC124068.2,MIR766,PDF,lnc_gene_sig,BRCA,AC124068.2-MIR766-PDF
AC124068.2,MIR766,SDC4,lnc_sig,BRCA,AC124068.2-MIR766-SDC4
AFAP1-AS1,MIR145,CDK4,lnc_miR_sig,BRCA,AFAP1-AS1-MIR145-CDK4
AFAP1-AS1,MIR145,IFNB1,lnc_miR_gene_sig,BRCA,AFAP1-AS1-MIR145-IFNB1
AFAP1-AS1,MIR145,MMP12,lnc_miR_gene_sig,BRCA,AFAP1-AS1-MIR145-MMP12
AFAP1-AS1,MIR145,STAT1,lnc_miR_gene_sig,BRCA,AFAP1-AS1-MIR145-STAT1
AFAP1-AS1,MIR145,VEGFA,lnc_miR_gene_sig,BRCA,AFAP1-AS1-MIR145-VEGFA
AGAP2-AS1,MIR4677,NR2F6,lnc_gene_sig,BRCA,AGAP2-AS1-MIR4677-NR2F6
AGAP2-AS1,MIR98,LTBR,lnc_sig,BRCA,AGAP2-AS1-MIR98-LTBR
AGAP2-AS1,MIR98,NR2F6,lnc_gene_sig,BRCA,AGAP2-AS1-MIR98-NR2F6
AGAP2-AS1,MIR98,PPP4C,lnc_gene_sig,BRCA,AGAP2-AS1-MIR98-PPP4C
AL049840.4,MIR193A,GDF11,lnc_sig,BRCA,AL049840.4-MIR193A-GDF11
AL049840.4,MIR193A,HMGB1,lnc_sig,BRCA,AL049840.4-MIR193A-HMGB1
AL049840.4,MIR193A,KRAS,lnc_gene_sig,BRCA,AL049840.4-MIR193A-KRAS
AL049840.4,MIR193A,MAPK8,lnc_sig,BRCA,AL049840.4-MIR193A-MAPK8
AL049840.4,MIR193A,MAVS,lnc_sig,BRCA,AL049840.4-MIR193A-MAVS
AL049840.4,MIR193A,PIK3R3,lnc_gene_sig,BRCA,AL049840.4-MIR193A-PIK3R3
AL049840.4,MIR193A,PTK2,lnc_sig,BRCA,AL049840.4-MIR193A-PTK2
AL049840.4,MIR193A,SEMA3D,lnc_gene_sig,BRCA,AL049840.4-MIR193A-SEMA3D
AL049840.4,MIR193A,TCF7L2,lnc_gene_sig,BRCA,AL049840.4-MIR193A-TCF7L2
AL049840.4,MIR193A,TGFB2,lnc_sig,BRCA,AL049840.4-MIR193A-TGFB2
AP003555.1,MIR93,B2M,lnc_sig,BRCA,AP003555.1-MIR93-B2M
AP003555.1,MIR93,BMPR2,lnc_sig,BRCA,AP003555.1-MIR93-BMPR2
AP003555.1,MIR93,CDC42,lnc_sig,BRCA,AP003555.1-MIR93-CDC42
AP003555.1,MIR93,CXCL8,lnc_sig,BRCA,AP003555.1-MIR93-CXCL8
AP003555.1,MIR93,F2R,lnc_gene_sig,BRCA,AP003555.1-MIR93-F2R
AP003555.1,MIR93,F2RL1,lnc_sig,BRCA,AP003555.1-MIR93-F2RL1
AP003555.1,MIR93,HSPA5,lnc_gene_sig,BRCA,AP003555.1-MIR93-HSPA5
AP003555.1,MIR93,IFNAR1,lnc_sig,BRCA,AP003555.1-MIR93-IFNAR1
AP003555.1,MIR93,MAPK1,lnc_sig,BRCA,AP003555.1-MIR93-MAPK1
AP003555.1,MIR93,PDGFB,lnc_sig,BRCA,AP003555.1-MIR93-PDGFB
AP003555.1,MIR93,TNFRSF21,lnc_gene_sig,BRCA,AP003555.1-MIR93-TNFRSF21
AP003555.1,MIR93,UBR1,lnc_sig,BRCA,AP003555.1-MIR93-UBR1
DLX6-AS1,MIR103A2,FURIN,lnc_sig,BRCA,DLX6-AS1-MIR103A2-FURIN
DLX6-AS1,MIR103A2,NFATC3,lnc_sig,BRCA,DLX6-AS1-MIR103A2-NFATC3
DLX6-AS1,MIR149,BID,lnc_sig,BRCA,DLX6-AS1-MIR149-BID
DLX6-AS1,MIR149,CALR,lnc_gene_sig,BRCA,DLX6-AS1-MIR149-CALR
DLX6-AS1,MIR149,FASLG,lnc_sig,BRCA,DLX6-AS1-MIR149-FASLG
DLX6-AS1,MIR149,GLP2R,lnc_gene_sig,BRCA,DLX6-AS1-MIR149-GLP2R
DLX6-AS1,MIR149,GPI,lnc_gene_sig,BRCA,DLX6-AS1-MIR149-GPI
DLX6-AS1,MIR149,HLA-A,lnc_gene_sig,BRCA,DLX6-AS1-MIR149-HLA-A
DLX6-AS1,MIR149,PLCG2,lnc_gene_sig,BRCA,DLX6-AS1-MIR149-PLCG2
DLX6-AS1,MIR149,S1PR2,lnc_sig,BRCA,DLX6-AS1-MIR149-S1PR2
DLX6-AS1,MIR149,ULBP3,lnc_sig,BRCA,DLX6-AS1-MIR149-ULBP3
DLX6-AS1,MIR331,GPI,lnc_gene_sig,BRCA,DLX6-AS1-MIR331-GPI
DLX6-AS1,MIR331,SOCS1,lnc_gene_sig,BRCA,DLX6-AS1-MIR331-SOCS1
H19,MIR331,PSMC4,gene_sig,BRCA,H19-MIR331-PSMC4
HCG11,MIR26B,BMPR1A,lnc_sig,BRCA,HCG11-MIR26B-BMPR1A
HCG11,MIR26B,CMTM6,lnc_sig,BRCA,HCG11-MIR26B-CMTM6
HCG11,MIR26B,ERAP1,lnc_gene_sig,BRCA,HCG11-MIR26B-ERAP1
HCG11,MIR26B,NCK1,lnc_sig,BRCA,HCG11-MIR26B-NCK1
HCG11,MIR26B,PPP3R1,lnc_sig,BRCA,HCG11-MIR26B-PPP3R1
HCG11,MIR26B,PSMD5,lnc_sig,BRCA,HCG11-MIR26B-PSMD5
HCG11,MIR26B,PSMD7,lnc_sig,BRCA,HCG11-MIR26B-PSMD7
HCG18,MIR193A,KRAS,gene_sig,BRCA,HCG18-MIR193A-KRAS
HCG18,MIR193A,SEMA3D,gene_sig,BRCA,HCG18-MIR193A-SEMA3D
HCG18,MIR193A,TCF7L2,gene_sig,BRCA,HCG18-MIR193A-TCF7L2
HOTAIR,MIR221,ACTG1,lnc_miR_gene_sig,BRCA,HOTAIR-MIR221-ACTG1
HOTAIR,MIR221,CASP3,lnc_miR_gene_sig,BRCA,HOTAIR-MIR221-CASP3
HOTAIR,MIR221,PSMD4,lnc_miR_gene_sig,BRCA,HOTAIR-MIR221-PSMD4
HOTAIR,MIR221,TOR2A,lnc_miR_gene_sig,BRCA,HOTAIR-MIR221-TOR2A
LIMD1-AS1,MIR193A,KRAS,gene_sig,BRCA,LIMD1-AS1-MIR193A-KRAS
LIMD1-AS1,MIR193A,PIK3R3,gene_sig,BRCA,LIMD1-AS1-MIR193A-PIK3R3
LIMD1-AS1,MIR193A,SEMA3D,gene_sig,BRCA,LIMD1-AS1-MIR193A-SEMA3D
LIMD1-AS1,MIR193A,TCF7L2,gene_sig,BRCA,LIMD1-AS1-MIR193A-TCF7L2
LINC00885,MIR3613,BIRC5,gene_sig,BRCA,LINC00885-MIR3613-BIRC5
LINC00885,MIR3613,PAK3,gene_sig,BRCA,LINC00885-MIR3613-PAK3
LINC00885,MIR3613,PSMD11,gene_sig,BRCA,LINC00885-MIR3613-PSMD11
LINC01140,MIR429,AVPR1A,lnc_gene_sig,BRCA,LINC01140-MIR429-AVPR1A
LINC01140,MIR429,MALT1,lnc_sig,BRCA,LINC01140-MIR429-MALT1
LINC01356,MIR149,BID,lnc_sig,BRCA,LINC01356-MIR149-BID
LINC01356,MIR149,C3,lnc_gene_sig,BRCA,LINC01356-MIR149-C3
LINC01356,MIR149,CALR,lnc_gene_sig,BRCA,LINC01356-MIR149-CALR
LINC01356,MIR149,GLP2R,lnc_gene_sig,BRCA,LINC01356-MIR149-GLP2R
LINC01356,MIR149,GPI,lnc_gene_sig,BRCA,LINC01356-MIR149-GPI
LINC01356,MIR149,IGF1,lnc_gene_sig,BRCA,LINC01356-MIR149-IGF1
LINC01356,MIR149,PDGFRA,lnc_gene_sig,BRCA,LINC01356-MIR149-PDGFRA
LINC01356,MIR149,PLCG2,lnc_gene_sig,BRCA,LINC01356-MIR149-PLCG2
LINC01356,MIR149,S1PR2,lnc_sig,BRCA,LINC01356-MIR149-S1PR2
LINC01356,MIR149,ULBP3,lnc_sig,BRCA,LINC01356-MIR149-ULBP3
LINC01415,MIR93,BMPR2,lnc_sig,BRCA,LINC01415-MIR93-BMPR2
LINC01415,MIR93,CDC42,lnc_sig,BRCA,LINC01415-MIR93-CDC42
LINC01415,MIR93,F2R,lnc_gene_sig,BRCA,LINC01415-MIR93-F2R
LINC01415,MIR93,F2RL1,lnc_sig,BRCA,LINC01415-MIR93-F2RL1
LINC01415,MIR93,IFNAR1,lnc_sig,BRCA,LINC01415-MIR93-IFNAR1
LINC01415,MIR93,MAP2K1,lnc_sig,BRCA,LINC01415-MIR93-MAP2K1
LINC01415,MIR93,MAPK1,lnc_sig,BRCA,LINC01415-MIR93-MAPK1
LINC01415,MIR93,PPP3R1,lnc_sig,BRCA,LINC01415-MIR93-PPP3R1
LINC01415,MIR93,TNFRSF21,lnc_gene_sig,BRCA,LINC01415-MIR93-TNFRSF21
LINC01415,MIR93,UBR1,lnc_sig,BRCA,LINC01415-MIR93-UBR1
LINC01503,MIR331,GPI,gene_sig,BRCA,LINC01503-MIR331-GPI
LINC01503,MIR331,PSMC4,gene_sig,BRCA,LINC01503-MIR331-PSMC4
LINC01503,MIR331,SOCS1,gene_sig,BRCA,LINC01503-MIR331-SOCS1
LINC01503,MIR342,ADM,gene_sig,BRCA,LINC01503-MIR342-ADM
LINC01503,MIR342,BMP2,gene_sig,BRCA,LINC01503-MIR342-BMP2
LINC01503,MIR342,CALR,gene_sig,BRCA,LINC01503-MIR342-CALR
LINC01503,MIR342,CRLF1,gene_sig,BRCA,LINC01503-MIR342-CRLF1
LINC01503,MIR342,HDGF,gene_sig,BRCA,LINC01503-MIR342-HDGF
LINC01503,MIR342,PPIA,gene_sig,BRCA,LINC01503-MIR342-PPIA
LINC01503,MIR342,TFRC,gene_sig,BRCA,LINC01503-MIR342-TFRC
LINC01554,MIR149,C3,lnc_gene_sig,BRCA,LINC01554-MIR149-C3
LINC01554,MIR149,HLA-A,lnc_gene_sig,BRCA,LINC01554-MIR149-HLA-A
LINC01554,MIR149,PLCG2,lnc_gene_sig,BRCA,LINC01554-MIR149-PLCG2
LINC01554,MIR149,ULBP3,lnc_sig,BRCA,LINC01554-MIR149-ULBP3
LINC01816,MIR326,ACTG1,gene_sig,BRCA,LINC01816-MIR326-ACTG1
LINC01816,MIR326,HLA-C,gene_sig,BRCA,LINC01816-MIR326-HLA-C
LINC01816,MIR625,CALR,gene_sig,BRCA,LINC01816-MIR625-CALR
LINC01857,MIR141,BID,lnc_sig,BRCA,LINC01857-MIR141-BID
LINC01857,MIR141,HLA-DRB1,lnc_gene_sig,BRCA,LINC01857-MIR141-HLA-DRB1
LINC01857,MIR141,TNFAIP3,lnc_sig,BRCA,LINC01857-MIR141-TNFAIP3
LINC02086,MIR342,ADM,lnc_gene_sig,BRCA,LINC02086-MIR342-ADM
LINC02086,MIR342,CALR,lnc_gene_sig,BRCA,LINC02086-MIR342-CALR
LINC02086,MIR342,CRLF1,lnc_gene_sig,BRCA,LINC02086-MIR342-CRLF1
LINC02086,MIR342,FAM3C,lnc_sig,BRCA,LINC02086-MIR342-FAM3C
LINC02086,MIR342,HDGF,lnc_gene_sig,BRCA,LINC02086-MIR342-HDGF
